Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2023-10-24,Los Angeles Lakers,107,Denver Nuggets,119,/boxscores/202310240DEN.html,,Denver Nuggets
2023-10-24,Phoenix Suns,108,Golden State Warriors,104,/boxscores/202310240GSW.html,,Phoenix Suns
2023-10-25,Houston Rockets,86,Orlando Magic,116,/boxscores/202310250ORL.html,,Orlando Magic
2023-10-25,Boston Celtics,108,New York Knicks,104,/boxscores/202310250NYK.html,,Boston Celtics
2023-10-25,Washington Wizards,120,Indiana Pacers,143,/boxscores/202310250IND.html,,Indiana Pacers
2023-10-25,Atlanta Hawks,110,Charlotte Hornets,116,/boxscores/202310250CHO.html,,Charlotte Hornets
2023-10-25,Detroit Pistons,102,Miami Heat,103,/boxscores/202310250MIA.html,,Miami Heat
2023-10-25,Minnesota Timberwolves,94,Toronto Raptors,97,/boxscores/202310250TOR.html,,Toronto Raptors
2023-10-25,Cleveland Cavaliers,114,Brooklyn Nets,113,/boxscores/202310250BRK.html,,Cleveland Cavaliers
2023-10-25,New Orleans Pelicans,111,Memphis Grizzlies,104,/boxscores/202310250MEM.html,,New Orleans Pelicans
2023-10-25,Oklahoma City Thunder,124,Chicago Bulls,104,/boxscores/202310250CHI.html,,Oklahoma City Thunder
2023-10-25,Sacramento Kings,130,Utah Jazz,114,/boxscores/202310250UTA.html,,Sacramento Kings
2023-10-25,Dallas Mavericks,126,San Antonio Spurs,119,/boxscores/202310250SAS.html,,Dallas Mavericks
2023-10-25,Portland Trail Blazers,111,Los Angeles Clippers,123,/boxscores/202310250LAC.html,,Los Angeles Clippers
2023-10-26,Philadelphia 76ers,117,Milwaukee Bucks,118,/boxscores/202310260MIL.html,,Milwaukee Bucks
2023-10-26,Phoenix Suns,95,Los Angeles Lakers,100,/boxscores/202310260LAL.html,,Los Angeles Lakers
2023-10-27,Denver Nuggets,108,Memphis Grizzlies,104,/boxscores/202310270MEM.html,,Denver Nuggets
2023-10-27,Detroit Pistons,111,Charlotte Hornets,99,/boxscores/202310270CHO.html,,Detroit Pistons
2023-10-27,New York Knicks,126,Atlanta Hawks,120,/boxscores/202310270ATL.html,,New York Knicks
